,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
2,2,Pannoy Piyanut ,L,0,0,0,0,,THA,SERVE,2,17,11833,0
3,3,ManaKij Sirima ,S,0,0,0,0,,THA,SERVE,2,17,11833,0
4,5,Thinkaow Pleumjit ,MB,0,1,1,2,-50.00,THA,SERVE,2,17,11833,0
5,6,Sittirak Onuma ,OH,0,0,2,2,0.00,THA,SERVE,2,17,11833,0
6,8,Sang-Ob Tirawan ,MB,0,0,0,0,,THA,SERVE,2,17,11833,0
7,9,Chuewulim Sutadta ,OH,0,0,2,2,0.00,THA,SERVE,2,17,11833,0
8,10,Apinyapong Wilavan (C),L,0,0,0,0,,THA,SERVE,2,17,11833,0
9,11,Hyapha Amporn ,MB,0,0,0,0,,THA,SERVE,2,17,11833,0
10,12,Chaisri Tapaphaipun ,L,0,0,0,0,,THA,SERVE,2,17,11833,0
11,14,Juangjan Pattiya ,OH,0,0,0,0,,THA,SERVE,2,17,11833,0
12,19,Krause Karina ,MB,0,0,2,2,0.00,THA,SERVE,2,17,11833,0
13,24,Nuanjam Watchareeya ,MB,0,0,0,0,,THA,SERVE,2,17,11833,0
0,2,Pannoy Piyanut ,L,0,0,0,0,,THA,SERVE,3,16,11833,0
1,3,ManaKij Sirima ,S,0,0,0,0,,THA,SERVE,3,16,11833,0
2,5,Thinkaow Pleumjit ,MB,0,0,5,5,0.00,THA,SERVE,3,16,11833,0
3,6,Sittirak Onuma ,OH,0,1,1,2,-50.00,THA,SERVE,3,16,11833,0
4,8,Sang-Ob Tirawan ,MB,0,0,0,0,,THA,SERVE,3,16,11833,0
5,9,Chuewulim Sutadta ,OH,0,1,1,2,-50.00,THA,SERVE,3,16,11833,0
6,10,Apinyapong Wilavan (C),L,0,0,0,0,,THA,SERVE,3,16,11833,0
7,11,Hyapha Amporn ,MB,0,0,0,0,,THA,SERVE,3,16,11833,0
8,12,Chaisri Tapaphaipun ,L,0,0,0,0,,THA,SERVE,3,16,11833,0
9,13,Tomkom Nootsara ,S,0,0,1,1,0.00,THA,SERVE,3,16,11833,0
10,14,Juangjan Pattiya ,OH,0,0,0,0,,THA,SERVE,3,16,11833,0
11,15,Kanthong Malika ,O,0,0,2,2,0.00,THA,SERVE,3,16,11833,0
12,19,Krause Karina ,MB,0,1,3,4,-25.00,THA,SERVE,3,16,11833,0
13,24,Nuanjam Watchareeya ,MB,0,0,0,0,,THA,SERVE,3,16,11833,0
0,8,Li Yao ,OH,2,2,17,21,0.00,CHN,SERVE,0,0,11834,
1,14,Zheng Yixin ,O,2,1,10,13,7.69,CHN,SERVE,0,0,11834,
2,3,Diao Linyu ,S,1,1,2,4,0.00,CHN,SERVE,0,0,11834,
3,4,Yang Hanyu ,MB,1,3,7,11,-18.18,CHN,SERVE,0,0,11834,
4,9,Zhang Changning (C),OH,1,2,11,14,-7.14,CHN,SERVE,0,0,11834,
5,5,Gao Yi ,MB,0,0,0,0,,CHN,SERVE,0,0,11834,
6,7,Wang Yuanyuan ,MB,0,2,6,8,-25.00,CHN,SERVE,0,0,11834,
7,10,Liu Xiaotong ,OH,0,1,1,2,-50.00,CHN,SERVE,0,0,11834,
8,11,Yao Di ,S,0,0,9,9,0.00,CHN,SERVE,0,0,11834,
9,15,Lin Li ,L,0,0,0,0,,CHN,SERVE,0,0,11834,
10,18,Wang Mengjie ,L,0,0,0,0,,CHN,SERVE,0,0,11834,
11,19,Liu Yanhan ,OH,0,0,13,13,0.00,CHN,SERVE,0,0,11834,
12,22,Duan Fang ,OH,0,1,1,2,-50.00,CHN,SERVE,0,0,11834,
0,3,Diao Linyu ,S,1,0,1,2,50.00,CHN,SERVE,1,23,11834,0
1,4,Yang Hanyu ,MB,1,1,1,3,0.00,CHN,SERVE,1,23,11834,0
2,5,Gao Yi ,MB,0,0,0,0,,CHN,SERVE,1,23,11834,0
3,7,Wang Yuanyuan ,MB,0,0,6,6,0.00,CHN,SERVE,1,23,11834,0
