,Player No,Player Name,Position,Point,Errors,Touches,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
13,24,Nuanjam Watchareeya ,MB,0,0,0,0,,THA,BLOCK,3,16,11833,0
0,9,Zhang Changning (C),OH,6,3,3,12,25.00,CHN,BLOCK,0,0,11834,
1,4,Yang Hanyu ,MB,2,3,3,8,-12.50,CHN,BLOCK,0,0,11834,
2,8,Li Yao ,OH,2,6,3,11,-36.36,CHN,BLOCK,0,0,11834,
3,7,Wang Yuanyuan ,MB,1,4,2,7,-42.86,CHN,BLOCK,0,0,11834,
4,19,Liu Yanhan ,OH,1,1,2,4,0.00,CHN,BLOCK,0,0,11834,
5,3,Diao Linyu ,S,0,0,0,0,,CHN,BLOCK,0,0,11834,
6,5,Gao Yi ,MB,0,0,0,0,,CHN,BLOCK,0,0,11834,
7,10,Liu Xiaotong ,OH,0,2,0,2,-100.00,CHN,BLOCK,0,0,11834,
8,11,Yao Di ,S,0,3,2,5,-60.00,CHN,BLOCK,0,0,11834,
9,14,Zheng Yixin ,O,0,0,1,1,0.00,CHN,BLOCK,0,0,11834,
10,15,Lin Li ,L,0,0,0,0,,CHN,BLOCK,0,0,11834,
11,18,Wang Mengjie ,L,0,0,0,0,,CHN,BLOCK,0,0,11834,
12,22,Duan Fang ,OH,0,0,0,0,,CHN,BLOCK,0,0,11834,
