num_race,num_set,Country,win_or_lose,attack_scores,attack_errors,block_effective,block_errors,dig_succeeded,dig_errors,reception_succeeded,reception_errors,serve_scores,serve_errors,set_efficiency
13833,1,TUR,1.0,17,4,8,4,12,0,10,0,1,5,0.088
13833,2,JPN,0.0,10,11,4,6,12,2,15,0,0,2,0.0
13833,2,TUR,1.0,12,4,14,5,14,0,8,0,0,0,0.111
13833,3,JPN,1.0,16,7,3,1,20,4,8,0,1,1,0.02
13833,3,TUR,0.0,9,6,9,5,14,2,9,1,0,1,0.0
13833,4,JPN,0.0,15,6,3,3,13,4,14,1,1,1,0.027
13833,4,TUR,1.0,17,3,6,2,13,3,16,1,1,2,0.029
13834,0,CAN,,49,25,26,11,11,1,19,3,1,7,0.077
13834,0,SRB,,56,24,15,6,22,1,9,1,5,11,0.022
13834,1,CAN,0.0,14,6,3,1,1,0,4,0,0,1,0.091
13834,1,SRB,1.0,16,7,4,1,2,0,1,0,2,4,0.0
13834,2,CAN,0.0,7,6,3,2,2,0,4,2,1,3,0.048
13834,2,SRB,1.0,13,5,2,0,5,0,3,1,2,1,0.0
13834,3,CAN,1.0,14,6,10,1,1,0,2,1,0,1,0.071
13834,3,SRB,0.0,11,7,2,3,7,1,2,0,1,3,0.037
13834,4,CAN,0.0,14,7,10,7,7,1,9,0,0,2,0.097
13834,4,SRB,1.0,16,5,7,2,8,0,3,0,0,3,0.029
13835,0,CHN,,41,10,23,24,30,6,14,3,5,1,0.987
13835,0,DOM,,35,20,9,18,19,5,4,5,3,7,0.928
13835,1,CHN,1.0,11,5,9,6,11,3,6,1,2,1,0.966
13835,1,DOM,0.0,11,9,4,5,9,2,0,2,1,2,0.97
13835,2,CHN,1.0,16,3,6,8,10,3,5,2,3,0,1.0
13835,2,DOM,0.0,11,5,1,8,7,1,2,3,2,1,0.903
13835,3,CHN,1.0,14,2,8,10,9,0,3,0,0,0,1.0
13835,3,DOM,0.0,13,6,4,5,3,2,2,0,0,4,0.909
13836,0,ITA,,55,20,28,20,56,13,14,1,3,10,0.119
