Unnamed: 0,Player No,Player Name,Position,Digs,Errors,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
13,99,Bundasak Jarasporn ,MB,0,0,0,,THA,DIG,2,17,16026,0.0
0,20,Pairoj Supattra ,L,6,1,7,71.43,THA,DIG,3,29,16026,1.0
1,3,Guedpard Pornpun ,S,5,2,8,37.5,THA,DIG,3,29,16026,1.0
2,19,Moksri Chatchu-On ,OH,3,0,4,75.0,THA,DIG,3,29,16026,1.0
3,5,Nuekjang Thatdao ,MB,2,0,2,100.0,THA,DIG,3,29,16026,1.0
4,16,Kokram Pimpichaya ,O,2,0,3,66.67,THA,DIG,3,29,16026,1.0
5,18,Kongyot Ajcharaporn ,OH,1,0,1,100.0,THA,DIG,3,29,16026,1.0
6,1,Srithong Wipawee ,OH,0,0,0,,THA,DIG,3,29,16026,1.0
7,2,Pannoy Piyanut (C),L,0,1,1,-100.0,THA,DIG,3,29,16026,1.0
8,4,Kamlangmak Chitaporn ,MB,0,0,0,,THA,DIG,3,29,16026,1.0
9,12,Bamrungsuk Hattaya ,MB,0,0,0,,THA,DIG,3,29,16026,1.0
10,17,Janthawisut Sasipapron ,OH,0,1,1,-100.0,THA,DIG,3,29,16026,1.0
11,21,Sooksod Thanacha ,O,0,0,0,,THA,DIG,3,29,16026,1.0
12,23,ManaKij Sirima ,S,0,0,0,,THA,DIG,3,29,16026,1.0
13,99,Bundasak Jarasporn ,MB,0,0,0,,THA,DIG,3,29,16026,1.0
0,16,Kokram Pimpichaya ,O,4,0,4,100.0,THA,DIG,4,28,16026,0.0
1,18,Kongyot Ajcharaporn ,OH,4,1,6,50.0,THA,DIG,4,28,16026,0.0
2,19,Moksri Chatchu-On ,OH,4,2,8,25.0,THA,DIG,4,28,16026,0.0
3,20,Pairoj Supattra ,L,2,0,3,66.67,THA,DIG,4,28,16026,0.0
4,2,Pannoy Piyanut (C),L,1,1,2,0.0,THA,DIG,4,28,16026,0.0
5,3,Guedpard Pornpun ,S,1,0,1,100.0,THA,DIG,4,28,16026,0.0
6,1,Srithong Wipawee ,OH,0,0,0,,THA,DIG,4,28,16026,0.0
7,4,Kamlangmak Chitaporn ,MB,0,0,0,,THA,DIG,4,28,16026,0.0
8,5,Nuekjang Thatdao ,MB,0,1,1,-100.0,THA,DIG,4,28,16026,0.0
9,12,Bamrungsuk Hattaya ,MB,0,0,0,,THA,DIG,4,28,16026,0.0
10,17,Janthawisut Sasipapron ,OH,0,4,5,-80.0,THA,DIG,4,28,16026,0.0
11,21,Sooksod Thanacha ,O,0,0,0,,THA,DIG,4,28,16026,0.0
12,23,ManaKij Sirima ,S,0,0,0,,THA,DIG,4,28,16026,0.0
13,99,Bundasak Jarasporn ,MB,0,0,0,,THA,DIG,4,28,16026,0.0
0,2,Pannoy Piyanut (C),L,4,0,5,80.0,THA,DIG,5,11,16026,0.0
1,5,Nuekjang Thatdao ,MB,3,0,3,100.0,THA,DIG,5,11,16026,0.0
2,20,Pairoj Supattra ,L,2,0,2,100.0,THA,DIG,5,11,16026,0.0
3,19,Moksri Chatchu-On ,OH,1,0,1,100.0,THA,DIG,5,11,16026,0.0
4,1,Srithong Wipawee ,OH,0,0,0,,THA,DIG,5,11,16026,0.0
5,3,Guedpard Pornpun ,S,0,1,1,-100.0,THA,DIG,5,11,16026,0.0
6,4,Kamlangmak Chitaporn ,MB,0,0,0,,THA,DIG,5,11,16026,0.0
7,12,Bamrungsuk Hattaya ,MB,0,0,2,0.0,THA,DIG,5,11,16026,0.0
8,16,Kokram Pimpichaya ,O,0,0,1,0.0,THA,DIG,5,11,16026,0.0
