Unnamed: 0,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
4,17,Janthawisut Sasipapron ,OH,1,1,1,3,0.0,THA,ATTACK,3,29,16026,1.0
5,1,Srithong Wipawee ,OH,0,0,0,0,,THA,ATTACK,3,29,16026,1.0
6,2,Pannoy Piyanut (C),L,0,0,0,0,,THA,ATTACK,3,29,16026,1.0
7,3,Guedpard Pornpun ,S,0,0,0,0,,THA,ATTACK,3,29,16026,1.0
8,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,ATTACK,3,29,16026,1.0
9,12,Bamrungsuk Hattaya ,MB,0,0,0,0,,THA,ATTACK,3,29,16026,1.0
10,20,Pairoj Supattra ,L,0,0,0,0,,THA,ATTACK,3,29,16026,1.0
11,21,Sooksod Thanacha ,O,0,0,0,0,,THA,ATTACK,3,29,16026,1.0
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,ATTACK,3,29,16026,1.0
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,THA,ATTACK,3,29,16026,1.0
0,16,Kokram Pimpichaya ,O,6,1,1,8,62.5,THA,ATTACK,4,28,16026,0.0
